Nombre;Grandeur;Opinion;Couleur;Pâtes;Population
8;14,35824219;FAUX;Vert;Spaghetti;2,222089162
8;5,932963914;VRAI;Vert;Tagliatelle;2,24810361
3;7,13256165;VRAI;Noir;Tagliatelle;2,266562914
2;15,69369549;FAUX;Noir;Tagliatelle;2,290105046
6;6,367386859;VRAI;Rouge;Tagliatelle;2,309163908
2;42,63294073;FAUX;Rouge;Tagliatelle;2,336795228
9;12,23857472;VRAI;Blanc;Tagliatelle;2,357581388
3;23,63809056;VRAI;Rouge;Spaghetti;2,385671978
4;0,350466027;VRAI;Vert;Spaghetti;2,409664903
4;19,41377295;FAUX;Rouge;Linguine;2,429952412
7;10,45415372;VRAI;Noir;Tagliatelle;2,45536971
6;5,468236506;FAUX;Blanc;Tagliatelle;2,477480647
5;8,295150492;VRAI;Vert;Linguine;2,503934349
3;13,79962062;VRAI;Vert;Tagliatelle;2,5275572
3;9,330647053;FAUX;Rouge;Tagliatelle;2,555133197
9;58,38793978;FAUX;Rouge;Linguine;2,582508399
8;17,03269532;FAUX;Bleu;Linguine;2,609741158
4;3,632277811;FAUX;Noir;Tagliatelle;2,635156873
5;7,349410229;FAUX;Noir;Tagliatelle;2,660175698
5;4,833401828;FAUX;Noir;Tagliatelle;2,690455311
3;1,747696949;FAUX;Rouge;Tagliatelle;2,714910162
5;25,47459533;FAUX;Vert;Spaghetti;2,742202902
4;0,226583146;FAUX;Rouge;Linguine;2,76837477
6;26,1992486;FAUX;Rouge;Spaghetti;2,797772042
8;1,698324294;FAUX;Bleu;Spaghetti;2,825509009
4;6,640754389;FAUX;Vert;Linguine;2,850199077
3;13,80867989;FAUX;Bleu;Linguine;2,883667285
6;14,39902095;VRAI;Rouge;Spaghetti;2,907885188
5;12,20876611;FAUX;Rouge;Spaghetti;2,941240314
6;0,962824458;FAUX;Rouge;Tagliatelle;2,964516023
3;6,378660933;FAUX;Rouge;Tagliatelle;3,000700643
7;0,559864752;VRAI;Noir;Tagliatelle;3,033618939
5;4,95326513;FAUX;Rouge;Spaghetti;3,057943992
7;2,777234511;VRAI;Bleu;Linguine;3,089631799
4;11,24500242;VRAI;Noir;Spaghetti;3,121862594
7;4,128171015;VRAI;Noir;Spaghetti;3,154288925
5;1,758715953;FAUX;Noir;Spaghetti;3,186502359
4;2,039168668;VRAI;Vert;Tagliatelle;3,211956386
1;3,519807232;VRAI;Rouge;Spaghetti;3,244562956
9;5,595466797;VRAI;Blanc;Spaghetti;3,282882906
5;1,252901739;FAUX;Noir;Tagliatelle;3,310316053
5;6,723690797;FAUX;Rouge;Tagliatelle;3,345384808
6;55,05231784;VRAI;Noir;Tagliatelle;3,383655535
8;7,004897531;FAUX;Vert;Spaghetti;3,415045487
5;6,949180439;FAUX;Vert;Tagliatelle;3,448013034
6;8,536606703;VRAI;Rouge;Tagliatelle;3,482462739
4;30,4448355;VRAI;Noir;Tagliatelle;3,527208248
3;8,8396147;FAUX;Vert;Linguine;3,55625618
2;13,86397986;FAUX;Rouge;Tagliatelle;3,588286997
5;0,42402647;FAUX;Noir;Spaghetti;3,623429764
6;2,382730684;VRAI;Rouge;Spaghetti;3,661703378
7;0,158899838;FAUX;Rouge;Tagliatelle;3,69649824
1;33,7040928;FAUX;Rouge;Tagliatelle;3,73324004
5;13,38179043;FAUX;Noir;Tagliatelle;3,773062867
4;9,29581779;FAUX;Blanc;Tagliatelle;3,809478529
7;8,534129657;VRAI;Rouge;Linguine;3,856206267
4;7,175698206;FAUX;Rouge;Spaghetti;3,889237133
11;9,133943477;FAUX;Rouge;Tagliatelle;3,93099119
3;2,760580121;FAUX;Noir;Tagliatelle;3,970434119
7;17,20017746;FAUX;Bleu;Spaghetti;4,010018739
5;11,4972452;FAUX;Rouge;Spaghetti;4,049623719
3;8,589563462;VRAI;Rouge;Spaghetti;4,091703158
6;18,91083283;FAUX;Rouge;Tagliatelle;4,133404817
8;21,6274772;FAUX;Noir;Spaghetti;4,16528291
10;43,66446066;FAUX;Noir;Tagliatelle;4,210206512
3;0,120563496;VRAI;Vert;Tagliatelle;4,252402863
10;5,587739246;FAUX;Bleu;Spaghetti;4,298766067
5;18,65329211;FAUX;Noir;Tagliatelle;4,333954784
5;20,4274754;FAUX;Vert;Tagliatelle;4,388123121
